,Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
106,Robertão,1968,1968-11-20,Internacional,1,0,Botafogo,VC,3,0,107
105,Robertão,1968,1968-11-20,Athletico-PR,1,1,Flamengo,E,1,1,106
107,Robertão,1968,1968-11-20,Corinthians,2,1,Vasco,VC,3,0,108
110,Robertão,1968,1968-11-21,Bangu,1,0,Fluminense,VC,3,0,111
111,Robertão,1968,1968-11-21,Palmeiras,1,0,Portuguesa,VC,3,0,112
112,Robertão,1968,1968-11-23,São Paulo,3,1,Cruzeiro,VC,3,0,113
113,Robertão,1968,1968-11-23,Vasco,0,0,Bangu,E,1,1,114
114,Robertão,1968,1968-11-24,Náutico,0,0,Flamengo,E,1,1,115
115,Robertão,1968,1968-11-24,Fluminense,2,1,Corinthians,VC,3,0,116
116,Robertão,1968,1968-11-24,Atlético-MG,2,2,Santos,E,1,1,117
117,Robertão,1968,1968-11-24,Portuguesa,2,2,Botafogo,E,1,1,118
118,Robertão,1968,1968-11-24,Athletico-PR,1,3,Palmeiras,VV,0,3,119
119,Robertão,1968,1968-11-24,Grêmio,0,0,Internacional,E,1,1,120
124,Robertão,1968,1968-11-27,Náutico,2,3,São Paulo,VV,0,3,125
125,Robertão,1968,1968-11-27,Fluminense,0,1,Internacional,VV,0,3,126
123,Robertão,1968,1968-11-27,Bahia,2,1,Flamengo,VC,3,0,124
121,Robertão,1968,1968-11-27,Cruzeiro,1,1,Vasco,E,1,1,122
120,Robertão,1968,1968-11-27,Athletico-PR,1,0,Portuguesa,VC,3,0,121
122,Robertão,1968,1968-11-27,Santos,3,1,Grêmio,VC,3,0,123
126,Robertão,1968,1968-11-28,Botafogo,2,0,Bangu,VC,3,0,127
127,Robertão,1968,1968-11-28,Atlético-MG,2,1,Palmeiras,VC,3,0,128
128,Robertão,1968,1968-11-30,Bahia,2,1,São Paulo,VC,3,0,129
129,Robertão,1968,1968-11-30,Vasco,2,0,Flamengo,VC,3,0,130
130,Robertão,1968,1968-11-30,Internacional,2,1,Cruzeiro,VC,3,0,131
131,Robertão,1968,1968-12-01,Grêmio,3,1,Fluminense,VC,3,0,132
132,Robertão,1968,1968-12-01,Athletico-PR,2,2,Bangu,E,1,1,133
133,Robertão,1968,1968-12-01,Botafogo,3,2,Santos,VC,3,0,134
134,Robertão,1968,1968-12-01,Portuguesa,1,3,Atlético-MG,VV,0,3,135
136,Robertão,1968,1968-12-04,Internacional,1,2,Santos,VV,0,3,137
135,Robertão,1968,1968-12-04,Palmeiras,3,0,Vasco,VC,3,0,136
138,Robertão,1968,1968-12-08,Santos,3,0,Palmeiras,VC,3,0,139
137,Robertão,1968,1968-12-08,Vasco,3,2,Internacional,VC,3,0,138
139,Robertão,1968,1968-12-10,Vasco,1,2,Santos,VV,0,3,140
140,Robertão,1968,1968-12-10,Internacional,3,0,Palmeiras,VC,3,0,141
141,Robertão,1968,1968-12-10,Vasco,1,2,Santos,VV,0,3,142
142,Robertão,1968,1968-12-13,Bahia,3,1,Vasco,VC,3,0,143
0,Robertão,1969,1969-09-06,Flamengo,0,0,Portuguesa,E,1,1,1
5,Robertão,1969,1969-09-07,Internacional,3,1,Botafogo,VC,3,0,6
1,Robertão,1969,1969-09-07,Bahia,1,1,Santa Cruz,E,1,1,2
2,Robertão,1969,1969-09-07,Fluminense,0,3,Cruzeiro,VV,0,3,3
3,Robertão,1969,1969-09-07,Atlético-MG,3,1,Grêmio,VC,3,0,4
4,Robertão,1969,1969-09-07,Coritiba,2,1,Vasco,VC,3,0,5
8,Robertão,1969,1969-09-10,Bahia,1,3,Fluminense,VV,0,3,9
9,Robertão,1969,1969-09-10,Flamengo,2,1,Palmeiras,VC,3,0,10
6,Robertão,1969,1969-09-10,Portuguesa,2,2,America-RJ,E,1,1,7
7,Robertão,1969,1969-09-10,Coritiba,0,2,Internacional,VV,0,3,8
10,Robertão,1969,1969-09-13,Vasco,3,1,Atlético-MG,VC,3,0,11
15,Robertão,1969,1969-09-14,Coritiba,2,1,São Paulo,VC,3,0,16
16,Robertão,1969,1969-09-14,Internacional,3,0,Palmeiras,VC,3,0,17
14,Robertão,1969,1969-09-14,Corinthians,2,2,Portuguesa,E,1,1,15
11,Robertão,1969,1969-09-14,Santa Cruz,1,2,Fluminense,VV,0,3,12
12,Robertão,1969,1969-09-14,Flamengo,0,3,Grêmio,VV,0,3,13
13,Robertão,1969,1969-09-14,Cruzeiro,0,1,Botafogo,VV,0,3,14
17,Robertão,1969,1969-09-17,Palmeiras,0,1,Cruzeiro,VV,0,3,18
18,Robertão,1969,1969-09-17,America-RJ,2,1,Fluminense,VC,3,0,19
19,Robertão,1969,1969-09-17,Santa Cruz,2,1,Flamengo,VC,3,0,20
20,Robertão,1969,1969-09-17,Bahia,1,3,Corinthians,VV,0,3,21
21,Robertão,1969,1969-09-20,Palmeiras,2,2,America-RJ,E,1,1,22
22,Robertão,1969,1969-09-21,Santa Cruz,0,0,Corinthians,E,1,1,23
23,Robertão,1969,1969-09-21,Bahia,0,0,Flamengo,E,1,1,24
24,Robertão,1969,1969-09-21,Vasco,2,2,Fluminense,E,1,1,25
25,Robertão,1969,1969-09-21,Cruzeiro,1,1,Portuguesa,E,1,1,26
26,Robertão,1969,1969-09-21,São Paulo,2,5,Atlético-MG,VV,0,3,27
27,Robertão,1969,1969-09-21,Coritiba,3,1,Botafogo,VC,3,0,28
28,Robertão,1969,1969-09-21,Internacional,1,0,Grêmio,VC,3,0,29
31,Robertão,1969,1969-09-24,Corinthians,2,0,Cruzeiro,VC,3,0,32
30,Robertão,1969,1969-09-24,Atlético-MG,3,1,Coritiba,VC,3,0,31
29,Robertão,1969,1969-09-24,America-RJ,0,0,Internacional,E,1,1,30
32,Robertão,1969,1969-09-27,Botafogo,2,1,America-RJ,VC,3,0,33
33,Robertão,1969,1969-09-28,Coritiba,2,0,Portuguesa,VC,3,0,34
34,Robertão,1969,1969-09-28,Grêmio,2,1,Santos,VC,3,0,35
35,Robertão,1969,1969-09-28,Corinthians,3,1,Internacional,VC,3,0,36
36,Robertão,1969,1969-09-28,Bahia,2,0,Palmeiras,VC,3,0,37
37,Robertão,1969,1969-09-28,Fluminense,4,1,Flamengo,VC,3,0,38
38,Robertão,1969,1969-09-28,Cruzeiro,2,1,Atlético-MG,VC,3,0,39
39,Robertão,1969,1969-09-28,Santa Cruz,0,3,Vasco,VV,0,3,40
40,Robertão,1969,1969-10-01,Santa Cruz,2,3,Palmeiras,VV,0,3,41
41,Robertão,1969,1969-10-01,Bahia,1,1,Vasco,E,1,1,42
42,Robertão,1969,1969-10-01,America-RJ,1,2,Cruzeiro,VV,0,3,43
43,Robertão,1969,1969-10-01,Corinthians,2,0,São Paulo,VC,3,0,44
44,Robertão,1969,1969-10-01,Internacional,2,1,Atlético-MG,VC,3,0,45
49,Robertão,1969,1969-10-05,Grêmio,1,0,Corinthians,VC,3,0,50
48,Robertão,1969,1969-10-05,Coritiba,1,1,Fluminense,E,1,1,49
47,Robertão,1969,1969-10-05,Santos,2,3,Cruzeiro,VV,0,3,48
46,Robertão,1969,1969-10-05,Atlético-MG,2,0,America-RJ,VC,3,0,47
45,Robertão,1969,1969-10-05,Flamengo,3,1,Vasco,VC,3,0,46
50,Robertão,1969,1969-10-08,Botafogo,1,0,São Paulo,VC,3,0,51
51,Robertão,1969,1969-10-08,Internacional,3,0,Santos,VC,3,0,52
52,Robertão,1969,1969-10-08,Bahia,0,4,America-RJ,VV,0,3,53
53,Robertão,1969,1969-10-11,Fluminense,2,1,Grêmio,VC,3,0,54
54,Robertão,1969,1969-10-12,Internacional,1,3,Portuguesa,VV,0,3,55
55,Robertão,1969,1969-10-12,Santa Cruz,3,3,America-RJ,E,1,1,56
56,Robertão,1969,1969-10-12,Bahia,2,3,São Paulo,VV,0,3,57
57,Robertão,1969,1969-10-12,Botafogo,2,0,Vasco,VC,3,0,58
58,Robertão,1969,1969-10-12,Atlético-MG,1,2,Corinthians,VV,0,3,59
59,Robertão,1969,1969-10-12,Palmeiras,2,1,Santos,VC,3,0,60
60,Robertão,1969,1969-10-12,Coritiba,1,1,Flamengo,E,1,1,61
63,Robertão,1969,1969-10-15,Flamengo,1,3,Atlético-MG,VV,0,3,64
64,Robertão,1969,1969-10-15,Santos,6,2,Portuguesa,VC,3,0,65
61,Robertão,1969,1969-10-15,Santa Cruz,1,1,São Paulo,E,1,1,62
62,Robertão,1969,1969-10-15,Bahia,2,1,Cruzeiro,VC,3,0,63
65,Robertão,1969,1969-10-18,Portuguesa,2,1,São Paulo,VC,3,0,66
66,Robertão,1969,1969-10-18,Fluminense,2,0,Palmeiras,VC,3,0,67
70,Robertão,1969,1969-10-19,Santa Cruz,3,1,Atlético-MG,VC,3,0,71
69,Robertão,1969,1969-10-19,Grêmio,0,0,Botafogo,E,1,1,70
71,Robertão,1969,1969-10-19,Vasco,0,0,America-RJ,E,1,1,72
67,Robertão,1969,1969-10-19,Coritiba,0,0,Bahia,E,1,1,68
68,Robertão,1969,1969-10-19,Cruzeiro,2,2,Flamengo,E,1,1,69
72,Robertão,1969,1969-10-22,Botafogo,2,1,Atlético-MG,VC,3,0,73
73,Robertão,1969,1969-10-22,São Paulo,1,0,Fluminense,VC,3,0,74
74,Robertão,1969,1969-10-22,Coritiba,1,3,Santos,VV,0,3,75
75,Robertão,1969,1969-10-22,Internacional,3,2,Bahia,VC,3,0,76
76,Robertão,1969,1969-10-25,Vasco,1,2,Corinthians,VV,0,3,77
77,Robertão,1969,1969-10-25,Atlético-MG,3,1,Bahia,VC,3,0,78
78,Robertão,1969,1969-10-25,Portuguesa,1,1,Grêmio,E,1,1,79
83,Robertão,1969,1969-10-26,Internacional,1,2,Flamengo,VV,0,3,84
82,Robertão,1969,1969-10-26,Coritiba,2,0,America-RJ,VC,3,0,83
80,Robertão,1969,1969-10-26,Cruzeiro,2,0,São Paulo,VC,3,0,81
81,Robertão,1969,1969-10-26,Palmeiras,3,0,Botafogo,VC,3,0,82
79,Robertão,1969,1969-10-26,Fluminense,0,0,Santos,E,1,1,80
84,Robertão,1969,1969-10-29,Santos,1,1,America-RJ,E,1,1,85
85,Robertão,1969,1969-10-29,Grêmio,1,0,Coritiba,VC,3,0,86
86,Robertão,1969,1969-10-29,Santa Cruz,0,0,Portuguesa,E,1,1,87
87,Robertão,1969,1969-10-29,Botafogo,0,2,Corinthians,VV,0,3,88
93,Robertão,1969,1969-11-01,Flamengo,1,4,Santos,VV,0,3,94
92,Robertão,1969,1969-11-01,Bahia,2,1,Portuguesa,VC,3,0,93
91,Robertão,1969,1969-11-01,Santa Cruz,2,1,Botafogo,VC,3,0,92
90,Robertão,1969,1969-11-01,Corinthians,2,0,Fluminense,VC,3,0,91
89,Robertão,1969,1969-11-01,Coritiba,1,1,Cruzeiro,E,1,1,90
88,Robertão,1969,1969-11-01,Internacional,2,0,Vasco,VC,3,0,89
94,Robertão,1969,1969-11-02,Atlético-MG,0,1,Palmeiras,VV,0,3,95
95,Robertão,1969,1969-11-02,São Paulo,2,2,Grêmio,E,1,1,96
96,Robertão,1969,1969-11-04,Corinthians,4,1,Santos,VC,3,0,97
100,Robertão,1969,1969-11-05,São Paulo,2,1,Palmeiras,VC,3,0,101
99,Robertão,1969,1969-11-05,Cruzeiro,1,0,Internacional,VC,3,0,100
98,Robertão,1969,1969-11-05,Vasco,0,0,Grêmio,E,1,1,99
97,Robertão,1969,1969-11-05,Bahia,2,1,Botafogo,VC,3,0,98
101,Robertão,1969,1969-11-07,Corinthians,2,2,America-RJ,E,1,1,102
102,Robertão,1969,1969-11-08,Portuguesa,2,2,Atlético-MG,E,1,1,103
103,Robertão,1969,1969-11-09,Internacional,1,1,Fluminense,E,1,1,104
104,Robertão,1969,1969-11-09,Coritiba,1,3,Palmeiras,VV,0,3,105
105,Robertão,1969,1969-11-09,Santos,1,1,São Paulo,E,1,1,106
106,Robertão,1969,1969-11-09,Botafogo,3,1,Flamengo,VC,3,0,107
107,Robertão,1969,1969-11-09,Bahia,1,0,Grêmio,VC,3,0,108
108,Robertão,1969,1969-11-09,Cruzeiro,1,0,Vasco,VC,3,0,109
109,Robertão,1969,1969-11-12,Santa Cruz,0,4,Santos,VV,0,3,110
110,Robertão,1969,1969-11-12,Fluminense,2,2,Portuguesa,E,1,1,111
111,Robertão,1969,1969-11-12,Palmeiras,1,0,Vasco,VC,3,0,112
113,Robertão,1969,1969-11-12,Grêmio,0,2,America-RJ,VV,0,3,114
112,Robertão,1969,1969-11-12,Coritiba,2,3,Corinthians,VV,0,3,113
115,Robertão,1969,1969-11-15,Botafogo,3,0,Portuguesa,VC,3,0,116
114,Robertão,1969,1969-11-15,Palmeiras,1,0,Corinthians,VC,3,0,115
116,Robertão,1969,1969-11-16,Santa Cruz,0,0,Internacional,E,1,1,117
117,Robertão,1969,1969-11-16,Bahia,1,1,Santos,E,1,1,118
118,Robertão,1969,1969-11-16,America-RJ,1,1,Flamengo,E,1,1,119
119,Robertão,1969,1969-11-16,Atlético-MG,2,0,Fluminense,VC,3,0,120
120,Robertão,1969,1969-11-16,São Paulo,3,0,Vasco,VC,3,0,121
121,Robertão,1969,1969-11-16,Grêmio,1,1,Cruzeiro,E,1,1,122
122,Robertão,1969,1969-11-19,São Paulo,4,1,Flamengo,VC,3,0,123
123,Robertão,1969,1969-11-19,Grêmio,3,1,Santa Cruz,VC,3,0,124
124,Robertão,1969,1969-11-19,Vasco,1,2,Santos,VV,0,3,125
125,Robertão,1969,1969-11-22,Vasco,0,1,Portuguesa,VV,0,3,126
126,Robertão,1969,1969-11-22,Palmeiras,4,1,Grêmio,VC,3,0,127
131,Robertão,1969,1969-11-23,Internacional,1,1,São Paulo,E,1,1,132
130,Robertão,1969,1969-11-23,Coritiba,0,1,Santa Cruz,VV,0,3,131
129,Robertão,1969,1969-11-23,Corinthians,0,0,Flamengo,E,1,1,130
128,Robertão,1969,1969-11-23,Atlético-MG,2,0,Santos,VC,3,0,129
127,Robertão,1969,1969-11-23,Botafogo,1,0,Fluminense,VC,3,0,128
132,Robertão,1969,1969-11-25,Palmeiras,2,0,Portuguesa,VC,3,0,133
133,Robertão,1969,1969-11-26,America-RJ,4,0,São Paulo,VC,3,0,134
134,Robertão,1969,1969-11-26,Cruzeiro,4,0,Santa Cruz,VC,3,0,135
135,Robertão,1969,1969-11-26,Santos,0,0,Botafogo,E,1,1,136
136,Robertão,1969,1969-11-30,Botafogo,2,2,Cruzeiro,E,1,1,137
137,Robertão,1969,1969-11-30,Corinthians,0,0,Palmeiras,E,1,1,138
138,Robertão,1969,1969-12-03,Cruzeiro,1,1,Palmeiras,E,1,1,139
139,Robertão,1969,1969-12-03,Corinthians,1,0,Botafogo,VC,3,0,140
140,Robertão,1969,1969-12-07,Palmeiras,3,1,Botafogo,VC,3,0,141
141,Robertão,1969,1969-12-07,Cruzeiro,2,1,Corinthians,VC,3,0,142
